Abades,40.9087279942112,-4.2698120487
Adrada-de-Piron,41.063076931865,-4.05221582503
Adrados,41.3678215611885,-4.1078622275
Aguilafuente,41.247565286537,-4.08654801822
Alconada-de-Maderuelo,41.4535783159828,-3.4931750403
Aldea-Real,41.1849962411249,-4.1786689337
Aldealcorvo,41.2597978827258,-3.7854396275
Aldealengua-de-Pedraza,41.0529294321126,-3.8072336383
Aldealengua-de-Santa-Maria,41.4679410152301,-3.4602576091
Aldeanueva-de-la-Serrezuela,41.4619863050588,-3.7741947095
Aldeanueva-del-Codonal,41.0869457953374,-4.5236588570
Aldeasona,41.4765119919513,-4.0566024523
Aldehorno,41.5154181517891,-3.7800706080
Aldehuela-del-Codonal,41.0530871882266,-4.5349641468
Aldeonte,41.3388016381906,-3.6906363666
Anaya,40.9918172394542,-4.3123450926
Ane,41.0385658014473,-4.2870754077
Arahuetes,41.149873773856,-3.85921163084
Arcones,41.1129016123212,-3.7149758045
Arevalillo-de-Cega,41.1721818629306,-3.8852288309
Armuna,41.0692521824231,-4.2864160965
Ayllon,41.3600901208987,-3.3366538406
Barbolla,41.3138595393049,-3.6603400278
Basardilla,40.9989967112808,-3.9709514570
Bercial,40.8915204675032,-4.4325127059
Bercimuel,41.3993934607097,-3.5647507585
Bernardos,41.134228778273,-4.33204158260
Bernuy-de-Porreros,40.9992637950928,-4.1149638220
Boceguillas,41.3244447135234,-3.5956477447
Brieva,41.0405631923375,-4.0440266479
Caballar,41.1259258016197,-3.9593932940
Cabanas-de-Polendos,41.0473190267779,-4.1038530098
Cabezuela,41.2267741380768,-3.9780193251
Calabazas-de-Fuentiduena,41.4547518871896,-4.0064832385
Campo-de-San-Pedro,41.4579402512896,-3.5549766026
Cantalejo,41.2591770685169,-3.9249864632
Cantimpalos,41.0658420533237,-4.1628184581
Carbonero-el-Mayor,41.151080421114,-4.29246466530
Carrascal-del-Rio,41.3469251569687,-3.8846498650
Casla,41.1610875926921,-3.6526953788
Castillejo-de-Mesleon,41.2831178551785,-3.5949560545
Castro-de-Fuentiduena,41.4239905525406,-3.8570931201
Castrojimeno,41.4056023216952,-3.8383644043
Castroserna-de-Abajo,41.2077092318951,-3.7313184812
Castroserracin,41.4058724296477,-3.7958647082
Cedillo-de-la-Torre,41.4300940657352,-3.6291679762
Cerezo-de-Abajo,41.2169454057614,-3.5774696570
Cerezo-de-Arriba,41.2174054308042,-3.5185045403
Chane,41.3531641153895,-4.4337361566
Cilleruelo-de-San-Mames,41.4405644522899,-3.5889300683
Cobos-de-Fuentiduena,41.3860856006741,-3.9195820750
Coca,41.2182502461851,-4.5319501407
Codorniz,41.0600737000649,-4.6086453010
Collado-Hermoso,41.0219111058875,-3.9067805246
Condado-de-Castilnovo,41.2517678633862,-3.7466217781
Corral-de-Ayllon,41.3899788793872,-3.4531640440
Cozuelos-de-Fuentiduena,41.3982831900973,-4.0848688243
Cubillo,41.1078217013082,-3.9164450728
Cuellar,41.367916817701,-4.30836811539
Cuevas-de-Provanco,41.5396305297359,-3.9355253213
Domingo-Garcia,41.1208178424402,-4.3935006075
Donhierro,41.1111002037408,-4.6969900669
Duruelo,41.2226693536633,-3.6425187212
Encinas,41.3985780188311,-3.6791336428
Encinillas,41.0266799804977,-4.1493167335
Escalona-del-Prado,41.1652642548074,-4.1148612485
Escarabajosa-de-Cabezas,41.1085669325626,-4.1790754892
Escobar-de-Polendos,41.1028355996735,-4.1086294141
Espinar-El,40.7299534024048,-4.2127979119
Espirdo,41.0017308178753,-4.0724131315
Fresneda-de-Cuellar,41.2970303193986,-4.4618102610
Fresno-de-Cantespino,41.363920950508,-3.49055401313
Fresno-de-la-Fuente,41.4037550189232,-3.6432236706
Frumales,41.3747214288434,-4.1878104383
Fuente-de-Santa-Cruz,41.2129823863738,-4.6235738243
Fuente-el-Olmo-de-Fuentiduena,41.4019836742152,-3.9860723129
Fuente-el-Olmo-de-iscar,41.2881946086573,-4.4916611365
Fuentepelayo,41.2284083601975,-4.1709478624
Fuentepinel,41.407866806454,-4.03662197841
Fuenterrebollo,41.3154015332578,-3.9391744659
Fuentesauco-de-Fuentiduena,41.4296519132374,-4.0613482347
Fuentesoto,41.451187674044,-3.90665754231
